pop,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110
3890757,87.75,0.13,11.97,72.86,0.84,2.44,23.71,11.59,3.08,4.3,1.59,10.57,0.11,0.42,11.07,0.35,7.6,19.02,7.49,3.29,0.51,2.03,3.25,1.18,11.68,0.88,21.57,13.25,2.9,38.92,8.67,14.7,14.86,19.71,7.29,71.18,14.08,6.97,7.77,12.09,16.42,26.37,14.1,22.15,1.57,1.61,1.16,4.2,0.31,8.93,16.36,24.88,14.57,25.05,1.89,1.88,1.16,4.85,0.44,15.29,16.49,27.89,13.63,19.22,1.26,1.34,1.16,3.54,0.18,13.37,1.66,0.81,83.46,0.54,0.01,0.01,67.65,17.83,0.17,14.35,27.07,29.51,1.49,3.12,15.21,1,15.14,2.12,1.2,3.98,0.16,1.43,50.72,4.92,0.02,39.35,0.1,3.45,82.51,16.03,0.23,1.23,0.86,71.31,10.85,16.98,30.81,63.01,1.14,4.88
4500212,78.27,0.45,21.03,63.36,1.26,9.9,25.39,37.53,2.65,7.13,2.11,3.35,0.24,1.74,5.13,0.19,4.33,13.69,0.94,4.48,0.28,0.67,5.09,0.79,8.87,0.8,19.49,20.6,2.72,18.87,20.17,18.1,8.05,14.04,3.77,85.21,2.15,2.5,10.13,20.47,20.27,25.01,14.74,14.33,0.85,0.84,0.58,2.77,0.15,16.72,21.23,24.74,14.92,16.25,1.1,0.81,0.57,3.42,0.24,23.95,19.37,25.27,14.57,12.54,0.62,0.87,0.59,2.15,0.06,96.47,0.31,0.2,2.62,0.32,0,0,41.23,12.26,2.2,44.3,8.41,10.91,5.84,6.8,46.96,6.01,11.84,1.85,1.12,0.05,0.2,0.37,2.05,35.94,0.05,61.11,0.1,0.37,32.61,48.4,8.26,10.73,0.33,54.07,2.63,42.97,33.32,58.35,3.17,5.07
4683827,83.25,0.1,16.4,72.27,0.76,3.37,23.31,57.41,2.16,4.97,2.51,1.21,0.2,1.48,4.36,0.13,2.22,5.38,0.32,4.35,0.16,0.32,4.14,0.83,7.2,0.65,17.7,26.1,1.83,14.29,3.08,36.98,6.34,21.75,2.65,84.68,3.86,2.59,8.87,15.3,27.04,31.08,11.07,10.5,1.41,0.68,0.78,2.03,0.11,14.21,28.13,29.75,11.21,11.16,1.64,0.6,0.74,2.4,0.17,16.37,25.98,32.38,10.93,9.85,1.19,0.76,0.81,1.67,0.06,9.05,34.74,54.14,0.11,0.01,0,1.73,63.38,10.89,1.16,24.58,1.23,12.04,7.91,0.62,22.58,6.77,26.63,13.67,4.76,3.2,0.58,0.3,0.27,15.8,0.05,83.37,0.08,0.13,27.06,14.4,6.9,51.64,0.23,42.01,3.08,54.68,40.04,52.73,1.56,5.39
4395983,87.1,0.66,11.98,67.07,1.18,4.28,27.16,21.62,1.72,35.99,2.15,0.47,0.66,2.28,2.16,0.25,4.7,10.83,0.84,2.34,0.34,0.54,3.46,0.85,7.41,1.39,24.45,16.42,2.78,24.99,5.53,25.83,11.84,26.15,5.86,84.85,2.35,4.04,8.76,12.47,25.89,29.33,14.55,13.06,1.2,0.72,0.86,1.79,0.13,10.11,25.98,29.52,15,14.29,1.4,0.69,0.79,2.04,0.18,14.93,25.8,29.13,14.09,11.78,0.99,0.75,0.93,1.54,0.07,59.22,11.38,22.94,0.06,5.41,0.68,0.07,61.82,8.72,3.14,26.32,7.19,6.94,1.45,1.25,8.73,5.89,4.42,2.48,20.93,40.56,0.14,0.71,25.46,17.84,0.32,55.22,0.11,0.33,56.49,14.6,8.36,20.55,0.6,64.86,4.73,29.81,35.39,58.32,1.32,4.68
2212089,93.48,0.41,5.91,68.36,0.97,5.67,24.76,18.85,1.62,31.28,3.03,0.52,1.93,4.95,1.94,0.19,4.25,11.78,0.73,2.61,0.29,0.38,4.26,0.97,8.98,1.44,23.48,13.69,3.02,35.19,5.82,18.79,12.8,22.55,7.93,68.09,8.49,3.15,20.27,5.38,22.29,33.27,17.92,15,1.22,1.06,0.87,2.84,0.16,4.69,21.41,32.38,18.53,16.49,1.51,0.84,0.8,3.12,0.23,6.12,23.25,34.24,17.25,13.36,0.91,1.3,0.94,2.53,0.09,74.31,15.97,2.63,0.5,0.1,0.02,6.26,59.26,20.5,6.49,13.74,9.16,15.17,1.77,11.13,17.4,7.94,2.13,1.07,25.38,8.62,0.24,0.78,4.91,45.04,0.17,48.71,0.13,0.26,48.99,15.27,18.62,17.12,0.44,75.63,4.37,19.57,32.71,61.61,1.59,3.87
3626616,92.06,0.87,6.7,64.8,1.06,4.96,28.79,23.18,0.9,13.9,3.38,1.03,0.67,4.28,5.84,0.31,4.73,16.88,2.38,4.11,0.47,0.68,4.8,1.11,10.3,1.04,27.61,14.38,3.1,32.29,5.72,16.9,18.15,30.18,9.61,74.83,10.6,2.28,12.29,6.55,23.57,31.72,16.68,15.38,1.27,0.91,0.84,2.87,0.2,5.4,23.02,31.01,17.12,16.87,1.65,0.77,0.84,3.03,0.29,7.73,24.13,32.45,16.23,13.85,0.89,1.06,0.85,2.7,0.11,96.67,1.32,0.44,0.44,0.32,0.01,0.45,65.14,14.06,5.9,14.9,6.87,24.28,9.62,10.28,13.57,14.07,0.86,0.78,17.11,2.32,0.24,1.5,7.94,44.49,0.05,45.29,0.07,0.66,71.51,18.96,3.88,5.65,0.45,76.54,5.15,17.86,31.3,60.19,2.48,5.61
3553143,93.66,0.42,5.43,57.71,2.22,5.22,34.33,11.75,1.99,9.06,4.96,0.46,1.08,8.78,4.09,0.84,7.34,16.95,1.98,5.15,0.78,1.22,4.74,1.5,13.79,3.52,26.34,4.93,3.36,50.62,7.03,7.72,22.18,29.13,10.78,62.52,18.38,5.85,13.25,5.85,19.7,24.86,17.69,22.8,2.72,0.82,1.5,3.78,0.28,5.14,18.95,23.38,17.71,24.8,3.43,0.68,1.38,4.13,0.4,6.64,20.55,26.53,17.67,20.56,1.92,0.97,1.63,3.38,0.16,85.38,9.5,3.9,0.22,0.46,0.03,0.02,80.43,8.42,3.5,7.65,25.75,32.95,4.93,3.01,9.05,5.3,1.81,0.83,8.49,7.46,0.41,0.86,55.87,22.87,0.6,18.25,0.18,1.37,61.94,21.44,10.78,5.83,0.72,80.74,10.33,8.21,33.13,61.15,1.74,3.43
2270596,96.15,0.05,3.49,54.86,2.41,8.15,34.21,18.04,3.23,8.34,4.66,0.59,0.38,2.47,4.41,0.44,6.86,15.4,2.14,8.85,0.72,1.22,5.02,1.52,14.35,1.38,33.78,6.6,4.46,32.92,14.34,7.9,22.21,34.85,11.73,72.05,6.35,2.91,18.69,2.98,21.52,25.94,19.28,20.92,3.74,0.68,0.96,3.69,0.31,3.01,21.99,25.87,19.25,21.15,3.42,0.48,0.88,3.59,0.37,2.94,21.02,26,19.31,20.67,4.08,0.9,1.04,3.79,0.24,30.9,63.6,4.4,0.58,0.14,0.02,0.06,65.21,14.42,2.35,18.02,17.14,16.26,6.75,4.19,30.6,7.59,12.7,2.26,0.47,1.55,0.49,1.11,1.33,49.53,0.33,47.18,0.12,0.4,73.38,21.43,1.57,3.62,0.77,65.35,8.84,25.04,32.03,60.69,1.76,5.18
2635009,90.12,0.22,9.23,64.69,1.09,6.31,27.42,20.84,1.68,30.93,4.4,0.35,0.75,1.54,2.32,0.25,3.46,11.24,0.74,3.31,0.31,0.51,5.18,1.08,10.16,0.94,24.54,19.16,3.23,22.16,7.73,23.18,11.43,30.94,5.19,80.78,4.19,3.31,11.72,7.95,23,32.26,15.94,14.64,1.58,1.07,0.62,2.75,0.19,7.47,23.03,31.49,16.1,15.69,1.81,0.75,0.51,2.88,0.26,8.46,22.97,33.06,15.76,13.54,1.35,1.4,0.74,2.6,0.12,77.72,16.98,0.82,3.78,0.15,0.01,0.1,50.06,5.67,4.05,40.22,7.6,15.4,3.89,12.19,22.28,9.01,16.25,4.29,7.72,0.91,0.47,0.43,1.95,26.16,5.46,65.67,0.09,0.24,49.95,18.18,8.79,23.09,0.29,56.16,3.6,39.95,34.05,58.92,2.03,4.53
8034776,84.52,0.7,14.6,56.58,1.14,7.58,34.5,33.45,1.39,9.98,4.72,1.44,0.12,0.49,4.48,0.29,4.92,13.99,1.1,5.12,0.5,0.8,5.36,1.3,9.65,0.9,23.34,19.52,3.88,25.95,7.12,20.17,17.12,33.45,8,80.42,2.27,6.16,11.15,13.69,20.6,27.15,14.57,16.79,1.27,0.82,0.95,3.87,0.29,12.34,21.38,26.5,14.52,17.9,1.58,0.58,0.75,4.02,0.42,14.97,19.87,27.77,14.61,15.74,0.98,1.04,1.13,3.72,0.18,89.62,7.63,1.55,0.73,0.25,0,0.06,63.4,9.49,2.06,25.05,12.28,15.96,4.39,13.1,28.9,9.3,9.59,3.23,1.66,1.42,0.16,0.54,42.83,9.27,2.11,44.86,0.07,0.32,68.61,17.66,4.59,9.14,0.66,68.26,7.52,23.56,35.96,55.57,2.06,6.2
2232586,86.77,0.16,12.84,65.43,1.12,7.93,25.26,21.51,1.64,19.91,7.8,0.56,0.7,1.93,4.14,0.2,4.21,13.55,0.62,4.55,0.28,0.47,5.41,1.22,10.67,0.63,22.61,20.61,3.49,23.59,4.64,25.06,11.63,29.44,4.89,81.89,2.71,4.37,11.04,11.44,23.35,25.34,15.88,16.83,1.44,1.31,0.85,3.3,0.26,9.64,23.74,25.01,15.73,18.34,1.76,0.93,0.7,3.75,0.4,13.24,22.95,25.68,16.02,15.32,1.12,1.69,1,2.86,0.12,95.23,1.84,0.58,2.04,0.04,0,0,56.65,7.98,2.43,32.94,6.05,14.87,3.87,4.32,35.67,10.53,14.25,4.37,3.26,2.66,0.16,0.4,3.53,29.39,3.81,62.64,0.06,0.18,41.64,28.48,8.54,21.34,0.24,64.41,3.82,31.53,37.65,55.37,1.93,4.8
1040164,90.36,0.26,9.31,59.33,0.79,6.31,33.47,33.76,2.02,2.12,4.11,0.21,0.36,2.47,4.95,0.18,4.25,12.49,1.19,7.4,0.42,0.83,5.67,1.16,15.49,0.93,30.8,13.24,4.75,27.68,11.45,12.08,16.83,34.45,7.59,77.45,1.68,1.69,19.18,6.5,35.33,28.01,12.05,12.53,1.59,0.72,0.66,2.37,0.26,6.86,37.92,27,11.18,12.03,1.65,0.42,0.5,2.11,0.32,6.13,32.73,29.01,12.91,13.02,1.52,1.03,0.81,2.63,0.2,97.81,1.59,0.07,0.35,0.09,0,0,33.78,10.97,8.49,46.76,5.39,13.12,4.99,4.68,50.13,11.18,4.69,2.21,2.98,0.1,0.53,0.7,0.67,34.93,0.08,63.27,0.1,0.25,47.96,24.18,5.61,22.25,0.31,60.39,3.36,35.94,34.58,58.93,1.8,4.61
1158651,83.05,0.1,16.75,69.09,0.84,5.61,24.34,16.29,0.94,39.57,4.75,2.03,0.14,0.29,4.56,0.11,2.88,10.64,0.46,2.92,0.14,0.27,4.75,0.91,7.9,0.44,23.78,23.59,2.35,18.67,3.98,27.62,7.57,19.49,4.19,84.28,1.75,2.09,11.88,14.75,25.77,29.66,13.28,11.05,1.19,0.93,0.65,2.58,0.16,13.23,26.5,29.29,13.35,12.03,1.32,0.71,0.5,2.84,0.24,16.27,25.04,30.03,13.21,10.06,1.06,1.14,0.8,2.31,0.08,82.66,14.21,1.02,1.38,0.03,0,0.56,44.24,5.85,2.53,47.38,5.25,8.53,2.71,4.83,31.02,14.03,15.58,9.09,8.27,0.63,0.04,0.31,7.1,16.07,2.07,74.25,0.04,0.16,37.37,14,25.01,23.61,0.15,60.02,1.6,38.24,39.03,53.35,2.35,5.15
1533506,92.87,0.2,6.45,58.72,1.2,7.71,31.78,29.28,3.66,9.68,7.44,0.34,1.15,0.44,2.7,0.3,3.65,11.95,0.9,6.24,0.38,0.57,6.95,1.34,11.94,1.09,31.7,14.79,2.67,27,3.31,20.53,13.4,27.35,4.58,78,5.25,4.38,12.37,6.46,22.05,26.19,16.22,20.73,2.51,1.39,0.96,3.29,0.21,6.06,22.26,24.94,16.59,21.82,2.97,0.95,0.79,3.35,0.27,6.87,21.83,27.47,15.84,19.61,2.04,1.84,1.13,3.23,0.14,50.61,41.4,6.76,0.37,0.02,0.01,0.41,50.05,9.31,6.84,33.8,3.52,13.49,6.82,4.53,37.32,5.69,19.69,3.97,2.58,2.38,0.01,0.55,0.53,40.33,0.06,57.93,0.1,0.49,66.8,5.54,7.04,20.63,0.79,48.45,4.89,45.87,36.98,56.16,1.59,4.75
1038087,92.04,0.15,7.53,61.97,0.6,5.47,31.62,19.8,3.63,24.93,4.65,0.17,0.78,2.16,1.64,0.2,4.29,10.57,0.9,6.76,0.29,0.42,5.62,1.19,11.24,0.76,31.68,15.08,3.78,23.26,5.5,20.66,9.5,21.58,4.9,82.29,5.07,3.57,9.07,6.96,24.12,28.4,16.64,17.12,1.61,1.35,0.66,2.96,0.18,6.28,23.52,26.93,17.23,19.09,1.93,0.95,0.57,3.24,0.26,7.67,24.74,29.94,16.02,15.06,1.28,1.77,0.77,2.66,0.09,74.28,24.9,0.52,0.02,0.01,0.02,0.01,46.16,10.22,14.93,28.69,2.69,22.32,4.8,1.62,41.62,10.34,5.99,1.02,4.32,4.91,0.38,0.61,0.43,30.29,0.12,68.12,0.09,0.32,53.77,9.31,15.47,21.46,0.53,49.37,2.67,47.43,37.32,56.52,1.79,4.07
760422,87.11,0.16,11.75,59.79,1.68,5.99,31.71,20.87,8.87,5.18,8.14,0.29,3.73,1.44,2.27,0.42,6.36,11.57,1.13,6.59,0.41,0.63,3.86,1.44,15.27,1.53,24.17,14.19,2.87,32.41,4.56,21.05,11.75,17.47,9.32,63.87,14.46,3.81,17.86,10.96,21.18,21.38,16.96,19.24,3.7,0.9,1.29,4.15,0.25,9.41,20.35,20.3,17.44,20.94,4.4,0.81,1.27,4.69,0.36,12.73,22.11,22.6,16.4,17.31,2.9,0.99,1.31,3.54,0.13,38.4,53.77,7.03,0.11,0.08,0,0,59.55,16.54,7.91,16,19.13,12.63,2.04,2.61,19.41,7.28,7.84,2.91,10.63,15.37,0.14,0.53,1.81,50.93,0.12,45.62,0.16,0.83,55.17,10.59,14.76,19.48,0.48,58.37,4.39,36.77,38.5,56.15,1.3,3.32
2833381,60.76,0.13,37.23,74.67,0.73,2.43,20.98,61.07,4.11,3.18,2.82,0.54,3.5,1.26,0.7,0.13,2.17,5.61,0.47,2.88,0.2,0.3,1.79,0.73,7.36,1.19,21.45,19.21,1.2,14.57,2.17,40.23,7.25,20.94,2.58,79.19,8.59,2.02,10.21,38.38,17.31,15.07,11.06,12.02,2.46,0.52,0.76,2.24,0.16,35.65,17.14,14.72,11.58,13.57,3.19,0.52,0.78,2.61,0.23,41.49,17.5,15.47,10.48,10.26,1.64,0.51,0.74,1.83,0.08,15.89,65.48,17.67,0.09,0.05,0,0.01,48.01,11.96,3.72,36.31,10.17,8.66,1.59,1.03,8.02,5.51,19.19,15.78,16.97,12.38,0.71,0.18,0.6,27.89,0.29,70.61,0.14,0.29,25.69,6.6,6.53,61.17,0.47,29.24,3.15,67.14,37.9,57.62,1.03,2.44
